epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1964.39,1.12366,1.26327,0.9671,0.99161,1,0.995,0.75845,0.89491,1.22351,0.98582,0.0003962,0.0003962,0.0003962
83,1979.23,0.82644,1.05102,0.90289,0.99161,1,0.995,0.75845,0.89491,1.22351,0.98582,0.0003764,0.0003764,0.0003764
84,1993.97,0.97139,1.20665,0.97512,0.99244,1,0.995,0.76613,0.87623,1.22514,0.97231,0.0003566,0.0003566,0.0003566
85,2014.38,0.89376,1.03363,0.90354,0.99244,1,0.995,0.76613,0.87623,1.22514,0.97231,0.0003368,0.0003368,0.0003368
86,2037.09,1.09892,1.28365,0.99526,0.99407,1,0.995,0.77722,0.87359,1.22294,0.96847,0.000317,0.000317,0.000317
87,2065.16,0.93489,1.16526,0.91595,0.99407,1,0.995,0.77722,0.87359,1.22294,0.96847,0.0002972,0.0002972,0.0002972
88,2093.99,0.78787,0.9689,0.91264,0.99332,1,0.995,0.78737,0.85257,1.24292,0.95769,0.0002774,0.0002774,0.0002774
89,2117.51,0.88266,1.26159,0.93246,0.99332,1,0.995,0.78737,0.85257,1.24292,0.95769,0.0002576,0.0002576,0.0002576
90,2143.49,0.99911,1.24208,1.03513,0.99241,1,0.995,0.79961,0.82038,1.24456,0.94747,0.0002378,0.0002378,0.0002378
91,2165.47,0.94649,1.498,1.05402,0.99241,1,0.995,0.79961,0.82038,1.24456,0.94747,0.000218,0.000218,0.000218
92,2187.61,1.10205,1.85305,1.16654,0.9927,1,0.995,0.81116,0.78459,1.23804,0.94804,0.0001982,0.0001982,0.0001982
93,2208.97,0.96601,1.57456,0.92905,0.9927,1,0.995,0.81116,0.78459,1.23804,0.94804,0.0001784,0.0001784,0.0001784
94,2230.58,0.83181,1.37727,0.99873,0.99416,1,0.995,0.80489,0.76866,1.24071,0.95331,0.0001586,0.0001586,0.0001586
95,2252.08,0.95043,1.28792,1.04201,0.99416,1,0.995,0.80489,0.76866,1.24071,0.95331,0.0001388,0.0001388,0.0001388
96,2274.21,0.89049,1.37495,0.93413,0.99614,1,0.995,0.8112,0.77019,1.2328,0.95802,0.000119,0.000119,0.000119
97,2295.89,0.90052,1.28864,1.02811,0.99614,1,0.995,0.8112,0.77019,1.2328,0.95802,9.92e-05,9.92e-05,9.92e-05
98,2318.08,0.827,1.26326,1.00601,0.99653,1,0.995,0.818,0.77954,1.22469,0.9605,7.94e-05,7.94e-05,7.94e-05
99,2340.44,1.01073,1.57528,0.98946,0.99653,1,0.995,0.818,0.77954,1.22469,0.9605,5.96e-05,5.96e-05,5.96e-05
100,2362.23,0.91492,1.29397,0.95054,0.99616,1,0.995,0.80984,0.77984,1.20986,0.95997,3.98e-05,3.98e-05,3.98e-05
